latitude,longitude,store_id,store_name,pincode,address,dc_blinkit_internal_city,dc_blinkit_internal_city_id,scraping_enabled,pluscode,last_active_dt,discovery_dt
18.983795,72.83243,37070,Super Store Mumbai Agripada ES157,400078,,mumbai,223525546,0,7JCJXRMJ+GX7QRJX,2100-01-01,2025-01-01
18.752354,73.40758,37076,Super Store Lonavala Tungarli ES1,410401,,lonavala,222939572,0,7JCMQC25+W2W3GX5,2100-01-01,2025-01-01
18.552975,73.83027,37078,Super Store Pune Bopodi ES109,412308,,pune,222422410,0,7JCMHR3J+54JWQJV,2100-01-01,2025-01-01
31.250109,75.69441,37080,Super Store Phagwara Law Gate ES62,144005,,phagwara,221349905,0,8J3Q7M2V+2QV6PJ3,2100-01-01,2025-01-01
31.30545,75.596344,37082,Super Store Jalandhar Choti Baradari ES59,144005,,jalandhar,221605022,0,8J3Q8H4W+5GHRRQV,2100-01-01,2025-01-01
26.745827,83.35709,37084,Super Store Gorakhpur Bauxipur ES1,273013,,gorakhpur,221021903,0,7MR5P9W4+8RP5975,2100-01-01,2025-01-01
12.855609,80.175964,37086,Super Store Chennai Mambakkam ES60,600059,,chennai,226774846,0,7M42V54G+69W9MRX,2100-01-01,2025-01-01
17.362436,78.529366,37088,Super Store Hyderabad Kothapet ES111,500048,,hyderabad,227188707,0,7J9W9G6H+XPHHC5F,2100-01-01,2025-01-01
18.966585,72.82701,37122,Super Store Mumbai Tardeo ES141,400049,,mumbai,223525546,0,7JCJXR8G+JRJF22F,2100-01-01,2025-01-01
21.247652,72.87137,37124,Super Store Surat Mota Varachha ES5,395004,,surat,225663524,0,7JHJ6VXC+3G956V9,2100-01-01,2025-01-01
13.106842,80.15429,37126,Super Store Chennai Venkatapuram ES61,600040,,chennai,226774846,0,7M524543+PPMJH85,2100-01-01,2025-01-01
12.328893,76.61178,37128,Super Store Mysore Vijay Nagar ES4,570004,,mysore,222187563,0,7J4R8JH6+HP2QP5G,2100-01-01,2025-01-01
30.39716,78.081856,37162,Super Store Dehradun Musoorie Road ES9,248001,,dehradun,222029625,0,8J2W93WJ+VP97JQR,2100-01-01,2025-01-01
12.8220005,80.191,37164,Super Store Chennai Siruseri ES49,603103,,chennai,226774846,0,7M42R5CR+RC2,2026-07-29,2025-01-01
21.231083,72.82046,37166,Super Store Surat Katargram ES10,395009,,surat,225663524,0,7JHJ6RJC+C5P8Q2X,2100-01-01,2025-01-01
18.56934,73.768105,37168,Super Store Pune Balewadi ES111,411052,,pune,222422410,0,7JCMHQ99+P6QM2GG,2100-01-01,2025-01-01
12.978977,77.50844,37170,Super Store Bengaluru Mallathalli Lake ES168,560026,,bengaluru,225966022,0,7J4VXGH5+H9V5G57,2100-01-01,2025-01-01
21.2371,81.64731,37172,Super Store Raipur Civil lines ES2,492001,,raipur,222731525,0,7MH36JPW+RWMXRRH,2100-01-01,2025-01-01
12.966366,77.64203,37208,Super Store Bengaluru Thippasandra ES173,560102,,bengaluru,225966022,0,7J4VXJ8R+GRRQ5MV,2100-01-01,2025-01-01
18.598,73.95617,37210,Super Store Pune Alpha Homes ES113,410501,,pune,222422410,0,7JCMHXX4+5FVVJX2,2100-01-01,2025-01-01
27.974371,76.40852,37244,Super Store Alwar Neemrana ES10,301705,,alwar,227854785,0,7JVRXCF5+PCR,2026-07-29,2025-01-01
19.182964,72.86554,37246,Super Store Mumbai Goregaon East Churiwadi ES152,400079,,mumbai,223525546,0,7JFJ5VM8+56MCX7F,2100-01-01,2025-01-01
28.597565,77.41177,37280,Super Store UP-NCR Noida Sector 122 ES158,201309,,noida,225639721,0,7JWVHCX6+2PCHJXJ,2100-01-01,2025-01-01
22.698013,88.384766,37282,Super Store Kolkata Sodepur ES135,711204,,kolkata,229248797,0,7MJCM9XM+6W2FGPP,2100-01-01,2025-01-01
18.633066,73.87134,37284,Super Store Pune Dighi ES122,412105,,pune,222422410,0,7JCMJVMC+6GGQ7JJ,2100-01-01,2025-01-01
23.33062,85.30652,37286,Super Store Ranchi Doranda ES4,834011,,ranchi,224316037,0,7MM788J4+6JRW3GM,2100-01-01,2025-01-01
28.641163,77.414085,37288,Super Store UP-NCR Noida Rani Laxmi Bai ES149,201012,,noida,225639721,0,7JWVJCR7+FJ8HM33,2100-01-01,2025-01-01
29.907944,78.107895,37290,Super Store Haridwar Durga Chowk ES3,249403,,haridwar,228457542,0,7JXWW455+55CPWP3,2026-07-29,2025-01-01
26.757484,75.89115,37292,Super Store Jaipur Ramchandrapura ES56,302022,,jaipur,226506314,0,7JRQQV4R+XFRG59W,2100-01-01,2025-01-01
13.318933,74.80988,37328,Super Store Manipal Vidyaratna Nagar ES1,576102,,manipal,221031882,0,7J5P8R95+HXC7FWV,2100-01-01,2025-01-01
12.892823,77.57358,37330,Super Store Bengaluru RBI Layout ES144,560072,,bengaluru,225966022,0,7J4VVHVF+4CGVHWX,2100-01-01,2025-01-01
12.861294,77.62929,37332,Super Store Bengaluru Yelenahalli Gate ES167,560011,,bengaluru,225966022,0,7J4VVJ6H+GP7JQ6R,2100-01-01,2025-01-01
28.823875,78.74644,37334,Super Store Moradabad Parashuram Chowk ES1,244105,,moradabad,228469992,0,7JWWRPFW+GHVXWXM,2100-01-01,2025-01-01
25.631008,85.09346,37336,Super Store Patna Keshari Nagar ES9,800024,,patna,225657296,0,7MQ7J3JV+C949J4H,2100-01-01,2025-01-01
20.959665,72.95183,37338,Super Store Navsari Lunsikui ES1,396450,,navsari,223132142,0,7JGJXX52+VP8P2MM,2100-01-01,2025-01-01
12.88129,74.833916,37340,Super Store Mangaluru Northern Sky Palm ES1,575013,,mangalore,226956622,0,7J4PVRJM+GH7CXWP,2100-01-01,2025-01-01
28.369886,79.4511,37342,Super Store Bareilly Pilibhit Bypass ES4,243006,,bareilly,226514847,0,7JWX9F92+XC5FC6G,2100-01-01,2025-01-01
32.744686,74.802185,37376,Super Store Jammu Akhnoor Road ES3,180002,,jammu,221204491,0,8J4PPRV2+VVF,2026-07-29,2025-01-01
32.69695,74.86964,37378,Super Store Jammu Trikuta Nagar ES1,180004,,jammu,221204491,0,8J4PMVW9+QVCVG7F,2100-01-01,2025-01-01
32.77298,74.80554,37380,Super Store Jammu Roopnagar ES2,181121,,jammu,221204491,0,8J4PQRF4+56V65QX,2026-07-29,2025-01-01
13.082512,77.5322,37414,Super Store Bengaluru Abbigere ES175,560034,,bengaluru,225966022,0,7J5V3GMJ+2V4GC84,2100-01-01,2025-01-01
30.793177,76.62075,37416,Super Store Kharar Nirwana Square One ES67,160022,,kharar,223165075,0,8J2RQJVC+77H59M3,2100-01-01,2025-01-01
12.943794,79.14074,37418,Super Store Vellore VIT ES1,632007,,vellore,221417632,0,7J4XW4VR+G79PX9Q,2100-01-01,2025-01-01
26.795904,83.37435,37420,Super Store Gorakhpur Medical Road ES2,273004,,gorakhpur,221021903,0,7MR5Q9WF+9P93RQF,2100-01-01,2025-01-01
12.306438,76.651596,37422,Super Store Mysore Kuvempunagar ES5,570004,,mysore,222187563,0,7J4R8M42+HJHCJ5G,2100-01-01,2025-01-01
13.0956335,77.49527,37424,Super Store Bengaluru Chikkabanavara ES178,560096,,bengaluru,225966022,0,7J5V3FWW+7428QQC,2100-01-01,2025-01-01
17.529732,78.3045,37426,Super Store Hyderabad Ramachandrapuram ES114,500018,,hyderabad,227188707,0,7J9WG8H3+VQX996C,2100-01-01,2025-01-01
21.18923,72.85237,37428,Super Store Surat Parvat Patiya ES9,395001,,surat,225663524,0,7JHJ5VQ2+MWX5RQV,2100-01-01,2025-01-01
13.112099,77.64059,37430,Super Store Bengaluru Northridge Thanisandra ES183,560026,,bengaluru,225966022,0,7J5V4J6R+R6PXMQF,2100-01-01,2025-01-01
19.050833,73.10059,37432,Super Store Mumbai Kalamboli ES156,400043,,panvel,226054644,0,7JFM3422+86Q6JJ4,2100-01-01,2025-01-01
21.122023,79.02563,37434,Super Store Nagpur Trimurti Nagar ES5,440025,,nagpur,228245816,0,7JHX42CG+R72RG5C,2100-01-01,2025-01-01
12.351354,76.651596,37470,Super Store Mysore Gokulam Extn ES6,570004,,mysore,222187563,0,7J4R9M22+GJX2JX8,2100-01-01,2025-01-01
19.010574,72.841194,37472,Super Store Mumbai Dadar East ES164,400070,,mumbai,223525546,0,7JFJ2R6R+6FGVR6J,2100-01-01,2025-01-01
17.384495,78.50184,37474,Super Store Hyderabad Moosarambagh ES117,500004,,hyderabad,227188707,0,7J9W9GM2+QPWQQRF,2100-01-01,2025-01-01
18.46827,73.915054,37476,Super Store Pune Undri ES118,411018,,pune,222422410,0,7JCMFW98+823PPMW,2100-01-01,2025-01-01
19.102549,72.889496,37478,Super Store Mumbai Saki Vihar Road ES158,400055,,mumbai,223525546,0,7JFJ4V3Q+2Q9XR84,2100-01-01,2025-01-01
19.116234,72.84944,37480,Super Store Mumbai Chakala Andheri ES162,400069,,mumbai,223525546,0,7JFJ4R8X+FQW6PR3,2100-01-01,2025-01-01
12.812692,77.66461,37516,Super Store Bengaluru E-City GM ES153,560105,,bengaluru,225966022,0,7J4VRM77+3RHP7QR,2100-01-01,2025-01-01
23.667234,86.162895,37550,Super Store Bokaro Chira Chas ES1,827010,,bokaro,222913779,0,7MM8M587+V5R8JWH,2100-01-01,2025-01-01
