"filter_key","wh_name","dc_blinkit_internal_city","place_of_supply","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be","po_number","po_state","units_ordered","remaining_quantity","total_amount"
"",RAIPUR - FEEDER WAREHOUSE,raipur,raipur,"10249577",0,0,0.0,0.0,0.0,0.0,"52221610000014",Scheduled,6,6,4615.8
goa-10265737,GOA G2 - FEEDER WAREHOUSE,goa,goa,"10265737",93,6,5.11150724890612,3.34955339288095,1.1738220661398886,19.368064091308163,"41315210040107",Scheduled,36,36,6804.0
bengaluru-10315547,BENGALURU B5 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10315547",201,275,35.5610479485912,36.533458338216334,7.733180428134556,13.385432304698359,"49990010081045",Scheduled,48,48,1560.0
patna-10315543,PATNA P1 - FEEDER WAREHOUSE,patna,patna,"10315543",100,81,2.983946269145713,4.86083924896039,27.14526090417501,60.65792868710712,"","",0,0,0.0
"",GUWAHATI G2 - FEEDER WAREHOUSE,guwahati,guwahati,"10297369",0,0,0.0,0.0,0.0,0.0,"51894410004218",Scheduled,20,20,20986.0
ahmedabad-10315543,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,ahmedabad,"10315543",117,0,11.409206323204197,20.369231138500687,0.0,10.254876341577225,"2738110068900",Scheduled,96,96,3120.0
solapur-10216709,CPC - SOLAPUR KONARK NAGAR(HP),solapur,solapur,"10216709",0,0,0.3829150369116296,0.7799780762919096,0.0,0.0,"","",0,0,0.0
mangalore-10216722,CPC - MANGALORE ATTAVAR(HP),mangalore,mangalore,"10216722",1,0,0.44866861628443894,0.9505434782608696,0.0,2.2288164665523156,"","",0,0,0.0
morbi-10176795,CPC - MORBI SANALA ROAD(HP),morbi,morbi,"10176795",0,10,1.0194732450073734,2.893480685389841,9.808987189190702,9.808987189190702,"","",0,0,0.0
ludhiana-10249574,LUDHIANA L2 - FEEDER WAREHOUSE,ludhiana,ludhiana,"10249574",16,1,2.263134261338123,2.376237623762376,0.44186507936507935,7.5117063492063485,"","",0,0,0.0
junagadh-10315546,CPC -  JUNAGADH SONVATIKA(HP),junagadh,junagadh,"10315546",1,1,0.1546639283610939,0.24283146898576016,6.465631712556141,12.931263425112283,"","",0,0,0.0
vijayawada-10291036,VIJAYAWADA - FEEDER WAREHOUSE,vijayawada,vijayawada,"10291036",47,0,1.72841339371891,0.8564806298517346,0.0,27.19256872852234,"","",0,0,0.0
rajpura-10292367,RAJPURA R2 - FEEDER WAREHOUSE,rajpura,rajpura,"10292367",358,34,74.57637637108498,76.4301306137055,0.45590844788193013,5.256356222638724,"43886010066389",Scheduled,288,288,22190.4
farukhnagar-10265737,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10265737",220,119,27.438004817911295,19.701283547257873,4.337050043898156,12.355125755306512,"5383910068788",Scheduled,36,36,6804.0
ahmedabad-10315547,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,ahmedabad,"10315547",149,203,91.13349482148038,73.53139566330997,2.2275015393369113,3.862465723382231,"2738110067259",Scheduled,96,96,3120.0
delhi-10258187,CPC-DEL5,delhi,delhi,"10258187",6,0,0.0,0.0,0.0,0.0,"","",0,0,0.0
puducherry-10249577,CPC - PUDUCHERRY VENKATA NAGAR (HP),puducherry,puducherry,"10249577",2,0,0.08361953113334328,0.0,0.0,23.917857142857144,"","",0,0,0.0
dehradun-10176794,CPC-DHD1-FRZ (HP),dehradun,dehradun,"10176794",30,0,0.0,3.019301336396111,0.0,0.0,"","",0,0,0.0
nellore-10199527,CPC - NELLORE RAMALINGA PURAM (HP),nellore,nellore,"10199527",6,1,0.8940563812371906,0.0,1.1184976931949249,7.829483852364475,"","",0,0,0.0
ahmedabad-10315341,CPC - AHMEDABAD2 (HP),ahmedabad,ahmedabad,"10315341",5,0,0.0,0.0,0.0,0.0,"","",0,0,0.0
noida-10291036,CPC - NOIDA1 (HP),noida,noida,"10291036",11,1,0.06179791504230559,0.8750567923671059,16.181775700934576,194.18130841121493,"","",0,0,0.0
lucknow-10176797,LUCKNOW L5 - FEEDER WAREHOUSE,lucknow,lucknow,"10176797",529,208,75.1495399826063,124.21762653587501,2.7678146805441863,9.807112594043582,"2940310044047",Scheduled,180,180,6804.0
