"filter_key","dc_blinkit_warehouse_id","wh_name","dc_blinkit_internal_city","place_of_supply","variant_id","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be"
coimbatore-10258333,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708261","10258333",114,0,1.319672131147541,1.7990222705051602,0.0,86.38509316770187
coimbatore-10258333,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708261","10258333",114,0,1.319672131147541,1.7990222705051602,0.0,86.38509316770187
coimbatore-10265740,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719412","10265740",218,30,4.245647507751013,13.212131256214782,7.066059993259186,58.4127626109426
coimbatore-10265740,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719412","10265740",218,30,4.245647507751013,13.212131256214782,7.066059993259186,58.4127626109426
coimbatore-10216726,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"650010","10216726",384,83,34.08677376633846,30.163359029030676,2.4349620345110092,13.700328555622185
coimbatore-10216726,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"650010","10216726",384,83,34.08677376633846,30.163359029030676,2.4349620345110092,13.700328555622185
coimbatore-10265791,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719560","10265791",1,0,0.0,0.0,0.0,0.0
coimbatore-10265791,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719560","10265791",1,0,0.0,0.0,0.0,0.0
coimbatore-10216709,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"649981","10216709",115,41,3.4733893557422975,1.4357501794687726,11.804032258064515,44.912903225806446
coimbatore-10216709,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"649981","10216709",115,41,3.4733893557422975,1.4357501794687726,11.804032258064515,44.912903225806446
coimbatore-10292367,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"759656","10292367",423,142,34.22300469483568,27.518796992481203,4.149255778860004,16.50936278208382
coimbatore-10292367,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"759656","10292367",423,142,34.22300469483568,27.518796992481203,4.149255778860004,16.50936278208382
coimbatore-10291036,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"757418","10291036",93,28,0.8944099378881988,0.5749778172138421,31.305555555555554,135.28472222222223
coimbatore-10291036,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"757418","10291036",93,28,0.8944099378881988,0.5749778172138421,31.305555555555554,135.28472222222223
coimbatore-10315547,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796934","10315547",129,37,6.049436568520538,5.629131652661064,6.11627208268237,27.44057204662901
coimbatore-10315547,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796934","10315547",129,37,6.049436568520538,5.629131652661064,6.11627208268237,27.44057204662901
coimbatore-10315543,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796930","10315543",160,48,5.289795918367346,4.1685891748003545,9.074074074074074,39.320987654320994
coimbatore-10315543,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796930","10315543",160,48,5.289795918367346,4.1685891748003545,9.074074074074074,39.320987654320994
coimbatore-10315341,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796627","10315341",133,8,11.78125,7.711973278520041,0.6790450928381963,11.96816976127321
coimbatore-10315341,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796627","10315341",133,8,11.78125,7.711973278520041,0.6790450928381963,11.96816976127321
coimbatore-10298083,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"767792","10298083",5,15,0.0,0.0,0.0,0.0
coimbatore-10298083,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"767792","10298083",5,15,0.0,0.0,0.0,0.0
coimbatore-10297369,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"766912","10297369",6,15,0.08123249299719888,0.0,184.6551724137931,258.51724137931035
coimbatore-10297369,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"766912","10297369",6,15,0.08123249299719888,0.0,184.6551724137931,258.51724137931035
coimbatore-10315546,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796933","10315546",248,149,15.848024316109422,9.928034371643394,9.4018028385117,25.050441120061375
coimbatore-10315546,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796933","10315546",248,149,15.848024316109422,9.928034371643394,9.4018028385117,25.050441120061375
coimbatore-10315586,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796973","10315586",106,22,0.5378151260504201,0.5765765765765765,40.90625,238.0
coimbatore-10315586,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"796973","10315586",106,22,0.5378151260504201,0.5765765765765765,40.90625,238.0
chennai-10325396,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"1368466","10325396",189,102,10.423018677435639,9.109947643979059,9.78603254552499,27.91897520340953
chennai-10325396,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"1368466","10325396",189,102,10.423018677435639,9.109947643979059,9.78603254552499,27.91897520340953
chennai-10176793,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581438","10176793",245,90,8.557536466774716,12.540845070422534,10.517045454545455,39.146780303030305
